event_id,spatial_cluster,ignition_time,last_detection_time,lat,lon,n_detections,duration_days,season,split
0,2,2019-10-10 12:07:00,2019-11-20 07:32:44.380558841,41.56058993309161,-120.78067439959668,251,40.80954144165326,2019,test
1,7,2023-09-19 10:27:00,2023-11-08 13:41:53.241036047,40.96578703195549,-120.84167800438968,115,50.13533843791721,2023,test
2,7,2022-08-06 16:21:00,2022-11-02 01:24:33.683040908,40.67030098244257,-123.02680646074016,224,87.37747318334384,2022,train
3,7,2021-09-14 01:32:00,2021-11-14 16:43:20.945633253,41.80505839460526,-122.37087320930924,79,61.63288131519969,2021,train
4,1,2021-10-07 01:28:00,2021-10-24 12:27:04.125526964,38.8542295573556,-122.86545325474557,233,17.45768663804357,2021,train
5,0,2024-10-24 10:09:00,2024-12-26 14:19:09.980762992,40.993558808371205,-119.97617821251599,416,63.1737266292013,2024,train
6,1,2019-08-29 21:17:00,2019-10-30 11:17:01.233137690,37.19944921485065,-123.96318865124498,319,61.58334760576031,2019,test
7,4,2023-10-10 15:28:00,2023-12-20 00:28:21.451086673,39.41244717571736,-123.30101500936172,353,70.37524827646612,2023,train
8,4,2020-09-11 10:40:00,2020-10-24 02:34:52.742863615,40.589993144496155,-120.82640839999705,427,42.66311044981036,2020,train
9,2,2019-08-09 13:47:00,2019-08-12 19:58:48.151146961,37.287508036917174,-121.95735678137682,154,3.258196193830577,2019,test
10,2,2022-09-09 00:14:00,2022-09-14 17:28:03.440933209,37.7615625466001,-120.69041742636553,428,5.718095381171409,2022,train
11,3,2024-09-15 18:59:00,2024-10-22 15:54:08.322143777,37.00183751944623,-123.8864396343307,333,36.871624098886315,2024,train
12,1,2023-10-13 18:43:00,2023-11-24 14:49:44.246087928,39.00626865062018,-123.23843948643416,359,41.83801210749917,2023,train
13,5,2023-09-14 10:09:00,2023-10-11 21:47:52.682962699,38.170875663320345,-123.5617504034195,192,27.485331978734948,2023,train
14,5,2023-09-26 08:57:00,2023-12-17 04:34:52.765103784,37.59521976875712,-119.15411811326138,249,81.81797181833083,2023,test
