lat,lon,pseudo_time,season,split
39.475317413651375,-123.11613608530384,2020-08-28,2020,test
40.31677773570562,-121.83953480112449,2023-08-02,2023,train
39.50458781347641,-120.7507669922259,2023-10-08,2023,train
36.249685043171354,-121.5300459037774,2021-10-08,2021,train
36.86714513319628,-123.48298516138725,2023-09-07,2023,train
41.550720710260784,-121.09469430149802,2020-10-11,2020,train
39.5454929488885,-123.88598064485151,2019-08-16,2019,test
40.69641136350172,-123.58635000038781,2019-09-07,2019,train
38.94424196612712,-119.31086772512509,2021-09-13,2021,train
37.60185397855136,-122.34215501328724,2024-09-18,2024,train
38.63346876183028,-123.89193960059835,2019-09-12,2019,test
36.841494533991664,-121.22981928230476,2021-08-01,2021,train
40.03344055823887,-122.59383108080496,2023-10-20,2023,train
40.61188495150594,-123.46129527022052,2020-10-05,2020,test
37.38128394536928,-123.8129372191191,2023-10-05,2023,train
