sensor_id,value,parameter,datetime,query_point_idx,point_type
9815,45.653062901332326,o3,2020-09-05 03:59:50.370704590,8,positive
2941,32.939711418845555,pm25,2020-09-08 03:03:06.158246139,8,positive
8576,26.161341307206378,o3,2020-09-11 05:45:55.498783841,8,positive
5328,28.602692357749646,pm25,2020-09-09 04:24:12.641364373,8,positive
9834,6.527316985166955,pm25,2020-09-07 06:37:25.027141687,8,positive
8703,34.42496362319788,o3,2020-09-07 23:57:32.918954089,8,positive
1802,10.752026837720205,o3,2020-09-07 02:41:04.962846886,8,positive
5798,31.1058651348707,pm25,2020-09-07 22:18:45.100406821,8,positive
6556,33.110564092919326,pm25,2020-09-09 19:02:32.253299926,8,positive
8785,10.24753370312484,o3,2020-09-09 18:13:47.811380673,8,positive
8353,49.624155323414975,o3,2020-09-06 09:30:48.505170383,8,positive
4536,11.932334895758297,o3,2020-09-08 23:41:09.399995432,8,positive
6741,39.81690806957202,o3,2020-09-10 03:13:22.615937144,8,positive
1046,27.05007152949872,pm25,2020-09-07 10:02:30.674265172,8,positive
8607,37.72893216497857,o3,2020-09-05 02:17:42.221816435,8,positive
5164,54.25978602868956,o3,2020-09-10 14:45:17.892457621,8,positive
4181,33.40142588984422,o3,2020-09-05 18:20:25.011639752,8,positive
6870,39.02770249369847,o3,2020-09-10 06:23:06.997303193,8,positive
4469,39.32455586042825,o3,2020-09-09 14:42:26.152220589,8,positive
9546,37.33250044376675,o3,2020-09-06 01:18:37.681151380,8,positive
4354,15.25069877476776,o3,2020-09-07 19:45:31.864351074,8,positive
1486,57.78304706224534,o3,2020-09-04 13:24:16.881576044,8,positive
1561,14.47397884380663,o3,2023-10-18 02:45:26.506076803,27,negative
3035,35.7947667475211,pm25,2023-10-16 20:09:32.407076842,27,negative
5662,15.622310280608406,o3,2023-10-17 23:13:01.694601265,27,negative
9183,40.03543905304676,o3,2023-10-14 21:09:28.587349851,27,negative
4940,38.14613764448188,pm25,2023-10-17 22:34:01.136208755,27,negative
6422,28.78833773965507,o3,2023-10-17 02:01:08.188241177,27,negative
9889,26.2861272647542,pm25,2023-10-14 10:14:35.167977811,27,negative
1717,59.865800607842665,o3,2023-10-16 14:34:53.009855006,27,negative
7698,28.679899518048177,o3,2023-10-13 22:41:31.049177140,27,negative
2922,21.376696660201524,o3,2023-10-15 11:55:44.448625556,27,negative
5529,35.865061155013066,pm25,2023-10-19 04:52:59.211188885,27,negative
2302,28.223248144032972,pm25,2020-10-05 07:41:36.577310023,20,negative
5271,51.297055989922846,o3,2020-10-04 15:03:54.610430674,20,negative
3350,48.86172933106429,o3,2020-10-08 11:14:19.199726361,20,negative
