query_point_idx,lat,lon,split,point_type,ref_time,season
0,41.56058993309161,-120.78067439959668,test,positive,2019-10-10 12:07:00,2019
1,40.96578703195549,-120.84167800438968,test,positive,2023-09-19 10:27:00,2023
2,40.67030098244257,-123.02680646074016,train,positive,2022-08-06 16:21:00,2022
3,41.80505839460526,-122.37087320930924,train,positive,2021-09-14 01:32:00,2021
4,38.8542295573556,-122.86545325474557,train,positive,2021-10-07 01:28:00,2021
5,40.993558808371205,-119.97617821251599,train,positive,2024-10-24 10:09:00,2024
6,37.19944921485065,-123.96318865124498,test,positive,2019-08-29 21:17:00,2019
7,39.41244717571736,-123.30101500936172,train,positive,2023-10-10 15:28:00,2023
8,40.589993144496155,-120.82640839999705,train,positive,2020-09-11 10:40:00,2020
9,37.287508036917174,-121.95735678137682,test,positive,2019-08-09 13:47:00,2019
10,37.7615625466001,-120.69041742636553,train,positive,2022-09-09 00:14:00,2022
11,37.00183751944623,-123.8864396343307,train,positive,2024-09-15 18:59:00,2024
12,39.00626865062018,-123.23843948643416,train,positive,2023-10-13 18:43:00,2023
13,38.170875663320345,-123.5617504034195,train,positive,2023-09-14 10:09:00,2023
14,37.59521976875712,-119.15411811326138,test,positive,2023-09-26 08:57:00,2023
15,39.475317413651375,-123.11613608530384,test,negative,2020-08-28 00:00:00,2020
16,40.31677773570562,-121.83953480112449,train,negative,2023-08-02 00:00:00,2023
17,39.50458781347641,-120.7507669922259,train,negative,2023-10-08 00:00:00,2023
18,36.249685043171354,-121.5300459037774,train,negative,2021-10-08 00:00:00,2021
19,36.86714513319628,-123.48298516138725,train,negative,2023-09-07 00:00:00,2023
20,41.550720710260784,-121.09469430149802,train,negative,2020-10-11 00:00:00,2020
21,39.5454929488885,-123.88598064485151,test,negative,2019-08-16 00:00:00,2019
22,40.69641136350172,-123.58635000038781,train,negative,2019-09-07 00:00:00,2019
23,38.94424196612712,-119.31086772512509,train,negative,2021-09-13 00:00:00,2021
24,37.60185397855136,-122.34215501328724,train,negative,2024-09-18 00:00:00,2024
25,38.63346876183028,-123.89193960059835,test,negative,2019-09-12 00:00:00,2019
26,36.841494533991664,-121.22981928230476,train,negative,2021-08-01 00:00:00,2021
27,40.03344055823887,-122.59383108080496,train,negative,2023-10-20 00:00:00,2023
28,40.61188495150594,-123.46129527022052,test,negative,2020-10-05 00:00:00,2020
29,37.38128394536928,-123.8129372191191,train,negative,2023-10-05 00:00:00,2023
